id;loantime;returntime;status;note;user_id;book_id
1;2022-05-01T21:13:23;2022-05-01T17:36:28;RETURNED_DAMAGED;Money olive moratorium;1;1
2;2022-05-01T17:31:34;2022-05-01T17:09:49;RETURNED_DAMAGED;Berkshire payment Wooden;2;2
3;2022-05-02T04:44:31;2022-05-02T00:27:43;RETURNED;Streets;3;3
4;2022-05-01T22:25:42;2022-05-02T06:10:02;RETURNED_DAMAGED;interface Meadow infrastructures;4;4
5;2022-05-02T12:44:21;2022-05-01T16:34:53;LOST;utilize infrastructures interface;5;5
6;2022-05-01T22:30:44;2022-05-02T05:29:02;RETURNED_DAMAGED;Supervisor Solutions;6;6
7;2022-05-02T03:37:29;2022-05-02T01:43:56;RETURNED_DAMAGED;Cambridgeshire fuchsia;7;7
8;2022-05-02T05:41:39;2022-05-02T00:48:00;RETURNED_DAMAGED;Tuna Assurance quantifying;8;8
9;2022-05-01T16:30:24;2022-05-02T00:06:23;LOST;Gloves Cambridgeshire redefine;9;9
10;2022-05-01T15:54:43;2022-05-02T12:32:10;LOST;Indian relationships;10;10
